GEONAME;VARIABLE;VALUE
Basel;depc_t;319492.0
Basel;depc_pat_cul;89279.0
Basel;depc_cula;96742.0
Basel;depc_med;0.0
Basel;depc_spo;133339.0
Basel;depc_egl;132.0
Basel;depic_t;89536.0
Basel;depic_pat_cul;7956.0
Basel;depic_cula;19020.0
Basel;depic_med;0.0
Basel;depic_spo;62428.0
Basel;depic_egl;132.0
Bern;depc_t;90344.0
Bern;depc_pat_cul;5825.0
Bern;depc_cula;47394.0
Bern;depc_med;946.0
Bern;depc_spo;36167.0
Bern;depc_egl;12.0
Bern;depic_t;11890.0
Bern;depic_pat_cul;68.0
Bern;depic_cula;5917.0
Bern;depic_med;0.0
Bern;depic_spo;5905.0
Bern;depic_egl;0.0
Genève;depc_t;425099.0
Genève;depc_pat_cul;93908.0
Genève;depc_cula;229330.0
Genève;depc_med;3428.0
Genève;depc_spo;98432.0
Genève;depc_egl;0.0
Genève;depic_t;71360.0
Genève;depic_pat_cul;7027.0
Genève;depic_cula;58387.0
Genève;depic_med;0.0
Genève;depic_spo;5947.0
Genève;depic_egl;0.0
Lausanne;depc_t;192444.0
Lausanne;depc_pat_cul;2107.0
Lausanne;depc_cula;63615.0
Lausanne;depc_med;481.0
Lausanne;depc_spo;122399.0
Lausanne;depc_egl;3841.0
Lausanne;depic_t;46629.0
Lausanne;depic_pat_cul;1616.0
Lausanne;depic_cula;51.0
Lausanne;depic_med;0.0
Lausanne;depic_spo;44961.0
Lausanne;depic_egl;0.0
Winterthur;depc_t;69627.0
Winterthur;depc_pat_cul;10895.0
Winterthur;depc_cula;34284.0
Winterthur;depc_med;280.0
Winterthur;depc_spo;24168.0
Winterthur;depc_egl;0.0
Winterthur;depic_t;8016.0
Winterthur;depic_pat_cul;840.0
Winterthur;depic_cula;1158.0
Winterthur;depic_med;0.0
Winterthur;depic_spo;6018.0
Winterthur;depic_egl;0.0
Zürich;depc_t;316034.0
Zürich;depc_pat_cul;45228.0
Zürich;depc_cula;129286.0
Zürich;depc_med;12546.0
Zürich;depc_spo;128893.0
Zürich;depc_egl;81.0
Zürich;depic_t;48112.0
Zürich;depic_pat_cul;8132.0
Zürich;depic_cula;9998.0
Zürich;depic_med;0.0
Zürich;depic_spo;29982.0
Zürich;depic_egl;0.0
Biel/Bienne;depc_t;32408.0
Biel/Bienne;depc_pat_cul;1716.0
Biel/Bienne;depc_cula;13829.0
Biel/Bienne;depc_med;76.0
Biel/Bienne;depc_spo;16786.0
Biel/Bienne;depc_egl;0.0
Biel/Bienne;depic_t;9052.0
Biel/Bienne;depic_pat_cul;0.0
Biel/Bienne;depic_cula;4438.0
Biel/Bienne;depic_med;0.0
Biel/Bienne;depic_spo;4614.0
Biel/Bienne;depic_egl;0.0
Lugano;depc_t;58629.0
Lugano;depc_pat_cul;9458.0
Lugano;depc_cula;26055.0
Lugano;depc_med;159.0
Lugano;depc_spo;22316.0
Lugano;depc_egl;640.0
Lugano;depic_t;8630.0
Lugano;depic_pat_cul;1008.0
Lugano;depic_cula;2549.0
Lugano;depic_med;0.0
Lugano;depic_spo;4993.0
Lugano;depic_egl;80.0
Luzern;depc_t;44304.0
Luzern;depc_pat_cul;2823.0
Luzern;depc_cula;23498.0
Luzern;depc_med;183.0
Luzern;depc_spo;17801.0
Luzern;depc_egl;0.0
Luzern;depic_t;3736.0
Luzern;depic_pat_cul;0.0
Luzern;depic_cula;83.0
Luzern;depic_med;0.0
Luzern;depic_spo;3652.0
Luzern;depic_egl;0.0
St. Gallen;depc_t;41173.0
St. Gallen;depc_pat_cul;9065.0
St. Gallen;depc_cula;13714.0
St. Gallen;depc_med;180.0
St. Gallen;depc_spo;18205.0
St. Gallen;depc_egl;10.0
St. Gallen;depic_t;3117.0
St. Gallen;depic_pat_cul;1557.0
St. Gallen;depic_cula;0.0
St. Gallen;depic_med;0.0
St. Gallen;depic_spo;1560.0
St. Gallen;depic_egl;0.0
Aarau;depc_t;14722.0
Aarau;depc_pat_cul;2674.0
Aarau;depc_cula;4587.0
Aarau;depc_med;0.0
Aarau;depc_spo;7461.0
Aarau;depc_egl;0.0
Aarau;depic_t;2750.0
Aarau;depic_pat_cul;215.0
Aarau;depic_cula;196.0
Aarau;depic_med;0.0
Aarau;depic_spo;2339.0
Aarau;depic_egl;0.0
Allschwil;depc_t;2472.0
Allschwil;depc_pat_cul;211.0
Allschwil;depc_cula;169.0
Allschwil;depc_med;0.0
Allschwil;depc_spo;2091.0
Allschwil;depc_egl;1.0
Allschwil;depic_t;212.0
Allschwil;depic_pat_cul;0.0
Allschwil;depic_cula;0.0
Allschwil;depic_med;0.0
Allschwil;depic_spo;212.0
Allschwil;depic_egl;0.0
Baar;depc_t;6671.0
Baar;depc_pat_cul;94.0
Baar;depc_cula;1746.0
Baar;depc_med;0.0
Baar;depc_spo;4832.0
Baar;depc_egl;0.0
Baar;depic_t;62.0
Baar;depic_pat_cul;0.0
Baar;depic_cula;0.0
Baar;depic_med;0.0
Baar;depic_spo;62.0
Baar;depic_egl;0.0
Bellinzona;depc_t;16489.0
Bellinzona;depc_pat_cul;4235.0
Bellinzona;depc_cula;2090.0
Bellinzona;depc_med;0.0
Bellinzona;depc_spo;9897.0
Bellinzona;depc_egl;267.0
Bellinzona;depic_t;6167.0
Bellinzona;depic_pat_cul;2700.0
Bellinzona;depic_cula;226.0
Bellinzona;depic_med;0.0
Bellinzona;depic_spo;3162.0
Bellinzona;depic_egl;80.0
Bülach;depc_t;6023.0
Bülach;depc_pat_cul;26.0
Bülach;depc_cula;1376.0
Bülach;depc_med;0.0
Bülach;depc_spo;4622.0
Bülach;depc_egl;0.0
Bülach;depic_t;1214.0
Bülach;depic_pat_cul;0.0
Bülach;depic_cula;100.0
Bülach;depic_med;0.0
Bülach;depic_spo;1114.0
Bülach;depic_egl;0.0
Bulle;depc_t;9869.0
Bulle;depc_pat_cul;1894.0
Bulle;depc_cula;1172.0
Bulle;depc_med;113.0
Bulle;depc_spo;6690.0
Bulle;depc_egl;0.0
Bulle;depic_t;1795.0
Bulle;depic_pat_cul;65.0
Bulle;depic_cula;0.0
Bulle;depic_med;0.0
Bulle;depic_spo;1731.0
Bulle;depic_egl;0.0
Carouge (GE);depc_t;28831.0
Carouge (GE);depc_pat_cul;978.0
Carouge (GE);depc_cula;17132.0
Carouge (GE);depc_med;508.0
Carouge (GE);depc_spo;10213.0
Carouge (GE);depc_egl;0.0
Carouge (GE);depic_t;7265.0
Carouge (GE);depic_pat_cul;8.0
Carouge (GE);depic_cula;6481.0
Carouge (GE);depic_med;0.0
Carouge (GE);depic_spo;777.0
Carouge (GE);depic_egl;0.0
Chur;depc_t;23665.0
Chur;depc_pat_cul;212.0
Chur;depc_cula;3876.0
Chur;depc_med;0.0
Chur;depc_spo;19578.0
Chur;depc_egl;0.0
Chur;depic_t;8953.0
Chur;depic_pat_cul;0.0
Chur;depic_cula;802.0
Chur;depic_med;0.0
Chur;depic_spo;8151.0
Chur;depic_egl;0.0
Dietikon;depc_t;5875.0
Dietikon;depc_pat_cul;46.0
Dietikon;depc_cula;1050.0
Dietikon;depc_med;0.0
Dietikon;depc_spo;4779.0
Dietikon;depc_egl;0.0
Dietikon;depic_t;1228.0
Dietikon;depic_pat_cul;0.0
Dietikon;depic_cula;186.0
Dietikon;depic_med;0.0
Dietikon;depic_spo;1042.0
Dietikon;depic_egl;0.0
Dübendorf;depc_t;4793.0
Dübendorf;depc_pat_cul;20.0
Dübendorf;depc_cula;1109.0
Dübendorf;depc_med;25.0
Dübendorf;depc_spo;3567.0
Dübendorf;depc_egl;73.0
Dübendorf;depic_t;436.0
Dübendorf;depic_pat_cul;0.0
Dübendorf;depic_cula;82.0
Dübendorf;depic_med;0.0
Dübendorf;depic_spo;354.0
Dübendorf;depic_egl;0.0
Emmen;depc_t;4327.0
Emmen;depc_pat_cul;152.0
Emmen;depc_cula;803.0
Emmen;depc_med;52.0
