nom;canton
Aclens;Vaud
Agarn;Valais
Agiez;Vaud
Aigle;Vaud
Aire-la-Ville;Genève
Albinen;Valais
Allaman;Vaud
Alle;Jura
Anières;Genève
Ayer;Valais
Chandolin;Valais
Grimentz;Valais
Mission;Valais
Niouc;Valais
St-Jean VS;Valais
St-Luc;Valais
Vissoie;Valais
Zinal;Valais
Apples;Vaud
Arbaz;Valais
Ardon;Valais
Arnex-sur-Nyon;Vaud
Arnex-sur-Orbe;Vaud
Arzier-Le Muids;Vaud
Assens;Vaud
Attalens;Fribourg
Tatroz;Fribourg
Aubonne;Vaud
Montherod;Vaud
Pizy;Vaud
Auboranges;Fribourg
Ausserberg;Valais
Autigny;Fribourg
Avenches;Vaud
Donatyre;Vaud
Oleyres;Vaud
Avry-sur-Matran;Fribourg
Corjolens;Fribourg
Avully;Genève
Athenaz (Avusy);Genève
Anzère;Valais
Argnou (Ayent);Valais
Blignou (Ayent);Valais
Botyre (Ayent);Valais
Fortunau (Ayent);Valais
La Place (Ayent);Valais
Luc (Ayent);Valais
Saxonne (Ayent);Valais
Signèse (Ayent);Valais
St-Romain (Ayent);Valais
Villa (Ayent);Valais
Ballaigues;Vaud
Ballens;Vaud
Baltschieder;Valais
La Croix-de-Rozon;Genève
Enney;Fribourg
Estavannens;Fribourg
Villars-sous-Mont;Fribourg
Buix;Jura
Courtemaîche;Jura
Montignez;Jura
Bassins;Vaud
Baulmes;Vaud
Bavois;Vaud
Begnins;Vaud
Autafond;Fribourg
Belfaux;Fribourg
Bellevue;Genève
Bellwald;Valais
Chandon;Fribourg
Domdidier;Fribourg
Dompierre FR;Fribourg
Léchelles;Fribourg
Russy;Fribourg
Belmont-sur-Lausanne;Vaud
Belmont-sur-Yverdon;Vaud
Bercher;Vaud
Bernex;Genève
Berolle;Vaud
Bettens;Vaud
Betten;Valais
Bettmeralp;Valais
Martisberg;Valais
Beurnevésin;Jura
Bex;Vaud
Fenalet-sur-Bex;Vaud
Frenières-sur-Bex;Vaud
Les Plans-sur-Bex;Vaud
Les Posses-sur-Bex;Vaud
Bière;Vaud
Billens;Fribourg
Hennens;Fribourg
Binn;Valais
Bioley-Magnoux;Vaud
Bioley-Orjulaz;Vaud
Bister;Valais
Bitsch;Valais
Blatten (Lötschen);Valais
Blonay;Vaud
Boécourt;Jura
Montavon;Jura
Bofflens;Vaud
Bogis-Bossey;Vaud
Arconciel;Fribourg
Ependes FR;Fribourg
Senèdes;Fribourg
Boncourt;Jura
Bonfol;Jura
Bonvillars;Vaud
Borex;Vaud
Bösingen;Fribourg
Bossonnens;Fribourg
Bottens;Vaud
Botterens;Fribourg
Villarbeney;Fribourg
Areuse;Neuchâtel
Boudry;Neuchâtel
Bougy-Villars;Vaud
Boulens;Vaud
Aran;Vaud
Chenaux;Vaud
Cully;Vaud
Epesses;Vaud
Grandvaux;Vaud
Riex;Vaud
Villette (Lavaux);Vaud
Bourg-St-Pierre;Valais
Bournens;Vaud
Bourrignon;Jura
Boussens;Vaud
Bovernier;Valais
Les Valettes (Bovernier);Valais
Bremblens;Vaud
Bretigny-sur-Morrens;Vaud
Bretonnières;Vaud
Brig;Valais
Brigerbad;Valais
Gamsen;Valais
Glis;Valais
Broc;Fribourg
Brot-Plamboz;Neuchâtel
Brünisried;Fribourg
Buchillon;Vaud
Bulle;Fribourg
La Tour-de-Trême;Fribourg
Bullet;Vaud
Les Rasses;Vaud
Bürchen;Valais
Bure;Jura
Bursinel;Vaud
Bursins;Vaud
Burtigny;Vaud
Bussigny;Vaud
Bussy-Chardonney;Vaud
Bussy-sur-Moudon;Vaud
Carouge GE;Genève
Cartigny;Genève
Céligny;Genève
Chalais;Valais
Réchy;Valais
Vercorin;Valais
Chamblon;Vaud
Chamoson;Valais
Grugnay (Chamoson);Valais
Les Vérines (Chamoson);Valais
Mayens-de-Chamoson;Valais
Némiaz (Chamoson);Valais
St-Pierre-de-Clages;Valais
Champagne;Vaud
Champéry;Valais
Champtauroz;Vaud
Champvent;Vaud
Essert-sous-Champvent;Vaud
Villars-sous-Champvent;Vaud
Chancy;Genève
Chapelle (Glâne);Fribourg
Chardonne;Vaud
