canton,Nom_localite,Population,Habitants_km2,CLASS_HAB,VARIABLE,VALUE,Revenu_imposable_mioCHF,Revenu_imposable_habitant_CHF
Zürich,Aeugst am Albis,1981,250.4424778761,6,depc_t,316034,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depc_pat_cul,45228,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depc_cula,129286,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depc_med,12546,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depc_spo,128893,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depc_egl,81,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depic_t,48112,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depic_pat_cul,8132,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depic_cula,9998,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depic_med,0,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depic_spo,29982,97.9089,50442.503863988
Zürich,Aeugst am Albis,1981,250.4424778761,6,depic_egl,0,97.9089,50442.503863988
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depc_t,316034,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depc_pat_cul,45228,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depc_cula,129286,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depc_med,12546,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depc_spo,128893,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depc_egl,81,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depic_t,48112,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depic_pat_cul,8132,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depic_cula,9998,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depic_med,0,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depic_spo,29982,390.8602,32180.158076733
Zürich,Affoltern am Albis,12303,1161.7563739377,6,depic_egl,0,390.8602,32180.158076733
Zürich,Bonstetten,5572,749.932705249,6,depc_t,316034,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depc_pat_cul,45228,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depc_cula,129286,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depc_med,12546,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depc_spo,128893,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depc_egl,81,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depic_t,48112,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depic_pat_cul,8132,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depic_cula,9998,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depic_med,0,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depic_spo,29982,223.5911,40564.423076923
Zürich,Bonstetten,5572,749.932705249,6,depic_egl,0,223.5911,40564.423076923
Zürich,Hausen am Albis,3751,275.8088235294,6,depc_t,316034,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depc_pat_cul,45228,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depc_cula,129286,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depc_med,12546,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depc_spo,128893,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depc_egl,81,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depic_t,48112,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depic_pat_cul,8132,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depic_cula,9998,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depic_med,0,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depic_spo,29982,148.0191,40398.225982533
Zürich,Hausen am Albis,3751,275.8088235294,6,depic_egl,0,148.0191,40398.225982533
Zürich,Hedingen,3778,578.5604900459,6,depc_t,316034,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depc_pat_cul,45228,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depc_cula,129286,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depc_med,12546,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depc_spo,128893,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depc_egl,81,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depic_t,48112,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depic_pat_cul,8132,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depic_cula,9998,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depic_med,0,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depic_spo,29982,154.8131,41909.33946941
Zürich,Hedingen,3778,578.5604900459,6,depic_egl,0,154.8131,41909.33946941
Zürich,Kappel am Albis,1221,154.1666666667,6,depc_t,316034,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depc_pat_cul,45228,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depc_cula,129286,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depc_med,12546,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depc_spo,128893,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depc_egl,81,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depic_t,48112,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depic_pat_cul,8132,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depic_cula,9998,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depic_med,0,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depic_spo,29982,49.8974,44353.244444444
Zürich,Kappel am Albis,1221,154.1666666667,6,depic_egl,0,49.8974,44353.244444444
Zürich,Knonau,2378,367.542503864,6,depc_t,316034,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depc_pat_cul,45228,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depc_cula,129286,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depc_med,12546,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depc_spo,128893,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depc_egl,81,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depic_t,48112,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depic_pat_cul,8132,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depic_cula,9998,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depic_med,0,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depic_spo,29982,83.8915,36395.444685466
Zürich,Knonau,2378,367.542503864,6,depic_egl,0,83.8915,36395.444685466
Zürich,Maschwanden,645,137.526652452,6,depc_t,316034,20.1511,31436.973478939
