GEONR;GEONAME;CLASS_HAB;VARIABLE;VALUE;STATUS
2701;Basel;6;depc_t;319492;A
2701;Basel;6;depc_pat_cul;89279;A
2701;Basel;6;depc_cula;96742;A
2701;Basel;6;depc_med;0;A
2701;Basel;6;depc_spo;133339;A
2701;Basel;6;depc_egl;132;A
2701;Basel;6;depic_t;89536;A
2701;Basel;6;depic_pat_cul;7956;A
2701;Basel;6;depic_cula;19020;A
2701;Basel;6;depic_med;0;A
2701;Basel;6;depic_spo;62428;A
2701;Basel;6;depic_egl;132;A
351;Bern;6;depc_t;90344;A
351;Bern;6;depc_pat_cul;5825;A
351;Bern;6;depc_cula;47394;A
351;Bern;6;depc_med;946;A
351;Bern;6;depc_spo;36167;A
351;Bern;6;depc_egl;12;A
351;Bern;6;depic_t;11890;A
351;Bern;6;depic_pat_cul;68;A
351;Bern;6;depic_cula;5917;A
351;Bern;6;depic_med;0;A
351;Bern;6;depic_spo;5905;A
351;Bern;6;depic_egl;0;A
6621;Genève;6;depc_t;425099;A
6621;Genève;6;depc_pat_cul;93908;A
6621;Genève;6;depc_cula;229330;A
6621;Genève;6;depc_med;3428;A
6621;Genève;6;depc_spo;98432;A
6621;Genève;6;depc_egl;0;A
6621;Genève;6;depic_t;71360;A
6621;Genève;6;depic_pat_cul;7027;A
6621;Genève;6;depic_cula;58387;A
6621;Genève;6;depic_med;0;A
6621;Genève;6;depic_spo;5947;A
6621;Genève;6;depic_egl;0;A
5586;Lausanne;6;depc_t;192444;A
5586;Lausanne;6;depc_pat_cul;2107;A
5586;Lausanne;6;depc_cula;63615;A
5586;Lausanne;6;depc_med;481;A
5586;Lausanne;6;depc_spo;122399;A
5586;Lausanne;6;depc_egl;3841;A
5586;Lausanne;6;depic_t;46629;A
5586;Lausanne;6;depic_pat_cul;1616;A
5586;Lausanne;6;depic_cula;51;A
5586;Lausanne;6;depic_med;0;A
5586;Lausanne;6;depic_spo;44961;A
5586;Lausanne;6;depic_egl;0;A
230;Winterthur;6;depc_t;69627;A
230;Winterthur;6;depc_pat_cul;10895;A
230;Winterthur;6;depc_cula;34284;A
230;Winterthur;6;depc_med;280;A
230;Winterthur;6;depc_spo;24168;A
230;Winterthur;6;depc_egl;0;A
230;Winterthur;6;depic_t;8016;A
230;Winterthur;6;depic_pat_cul;840;A
230;Winterthur;6;depic_cula;1158;A
230;Winterthur;6;depic_med;0;A
230;Winterthur;6;depic_spo;6018;A
230;Winterthur;6;depic_egl;0;A
261;Zürich;6;depc_t;316034;A
261;Zürich;6;depc_pat_cul;45228;A
261;Zürich;6;depc_cula;129286;A
261;Zürich;6;depc_med;12546;A
261;Zürich;6;depc_spo;128893;A
261;Zürich;6;depc_egl;81;A
261;Zürich;6;depic_t;48112;A
261;Zürich;6;depic_pat_cul;8132;A
261;Zürich;6;depic_cula;9998;A
261;Zürich;6;depic_med;0;A
261;Zürich;6;depic_spo;29982;A
261;Zürich;6;depic_egl;0;A
371;Biel/Bienne;5;depc_t;32408;A
371;Biel/Bienne;5;depc_pat_cul;1716;A
371;Biel/Bienne;5;depc_cula;13829;A
371;Biel/Bienne;5;depc_med;76;A
371;Biel/Bienne;5;depc_spo;16786;A
371;Biel/Bienne;5;depc_egl;0;A
371;Biel/Bienne;5;depic_t;9052;A
371;Biel/Bienne;5;depic_pat_cul;0;A
371;Biel/Bienne;5;depic_cula;4438;A
371;Biel/Bienne;5;depic_med;0;A
371;Biel/Bienne;5;depic_spo;4614;A
371;Biel/Bienne;5;depic_egl;0;A
5192;Lugano;5;depc_t;58629;A
5192;Lugano;5;depc_pat_cul;9458;A
5192;Lugano;5;depc_cula;26055;A
5192;Lugano;5;depc_med;159;A
5192;Lugano;5;depc_spo;22316;A
5192;Lugano;5;depc_egl;640;A
5192;Lugano;5;depic_t;8630;A
5192;Lugano;5;depic_pat_cul;1008;A
5192;Lugano;5;depic_cula;2549;A
5192;Lugano;5;depic_med;0;A
5192;Lugano;5;depic_spo;4993;A
5192;Lugano;5;depic_egl;80;A
1061;Luzern;5;depc_t;44304;A
1061;Luzern;5;depc_pat_cul;2823;A
1061;Luzern;5;depc_cula;23498;A
1061;Luzern;5;depc_med;183;A
1061;Luzern;5;depc_spo;17801;A
1061;Luzern;5;depc_egl;0;A
1061;Luzern;5;depic_t;3736;A
1061;Luzern;5;depic_pat_cul;0;A
1061;Luzern;5;depic_cula;83;A
1061;Luzern;5;depic_med;0;A
1061;Luzern;5;depic_spo;3652;A
1061;Luzern;5;depic_egl;0;A
3203;St. Gallen;5;depc_t;41173;A
3203;St. Gallen;5;depc_pat_cul;9065;A
3203;St. Gallen;5;depc_cula;13714;A
3203;St. Gallen;5;depc_med;180;A
3203;St. Gallen;5;depc_spo;18205;A
3203;St. Gallen;5;depc_egl;10;A
3203;St. Gallen;5;depic_t;3117;A
3203;St. Gallen;5;depic_pat_cul;1557;A
3203;St. Gallen;5;depic_cula;0;A
3203;St. Gallen;5;depic_med;0;A
3203;St. Gallen;5;depic_spo;1560;A
3203;St. Gallen;5;depic_egl;0;A
4001;Aarau;4;depc_t;14722;A
4001;Aarau;4;depc_pat_cul;2674;A
4001;Aarau;4;depc_cula;4587;A
4001;Aarau;4;depc_med;0;A
4001;Aarau;4;depc_spo;7461;A
4001;Aarau;4;depc_egl;0;A
4001;Aarau;4;depic_t;2750;A
4001;Aarau;4;depic_pat_cul;215;A
4001;Aarau;4;depic_cula;196;A
4001;Aarau;4;depic_med;0;A
4001;Aarau;4;depic_spo;2339;A
4001;Aarau;4;depic_egl;0;A
2762;Allschwil;4;depc_t;2472;A
2762;Allschwil;4;depc_pat_cul;211;A
2762;Allschwil;4;depc_cula;169;A
2762;Allschwil;4;depc_med;0;A
2762;Allschwil;4;depc_spo;2091;A
2762;Allschwil;4;depc_egl;1;A
2762;Allschwil;4;depic_t;212;A
2762;Allschwil;4;depic_pat_cul;0;A
2762;Allschwil;4;depic_cula;0;A
2762;Allschwil;4;depic_med;0;A
2762;Allschwil;4;depic_spo;212;A
2762;Allschwil;4;depic_egl;0;A
1701;Baar;4;depc_t;6671;A
1701;Baar;4;depc_pat_cul;94;A
1701;Baar;4;depc_cula;1746;A
1701;Baar;4;depc_med;0;A
1701;Baar;4;depc_spo;4832;A
1701;Baar;4;depc_egl;0;A
1701;Baar;4;depic_t;62;A
1701;Baar;4;depic_pat_cul;0;A
1701;Baar;4;depic_cula;0;A
1701;Baar;4;depic_med;0;A
1701;Baar;4;depic_spo;62;A
1701;Baar;4;depic_egl;0;A
5002;Bellinzona;4;depc_t;16489;A
5002;Bellinzona;4;depc_pat_cul;4235;A
5002;Bellinzona;4;depc_cula;2090;A
5002;Bellinzona;4;depc_med;0;A
5002;Bellinzona;4;depc_spo;9897;A
5002;Bellinzona;4;depc_egl;267;A
5002;Bellinzona;4;depic_t;6167;A
5002;Bellinzona;4;depic_pat_cul;2700;A
5002;Bellinzona;4;depic_cula;226;A
5002;Bellinzona;4;depic_med;0;A
5002;Bellinzona;4;depic_spo;3162;A
5002;Bellinzona;4;depic_egl;80;A
53;Bülach;4;depc_t;6023;A
53;Bülach;4;depc_pat_cul;26;A
53;Bülach;4;depc_cula;1376;A
53;Bülach;4;depc_med;0;A
53;Bülach;4;depc_spo;4622;A
53;Bülach;4;depc_egl;0;A
53;Bülach;4;depic_t;1214;A
53;Bülach;4;depic_pat_cul;0;A
53;Bülach;4;depic_cula;100;A
53;Bülach;4;depic_med;0;A
53;Bülach;4;depic_spo;1114;A
53;Bülach;4;depic_egl;0;A
2125;Bulle;4;depc_t;9869;A
2125;Bulle;4;depc_pat_cul;1894;A
2125;Bulle;4;depc_cula;1172;A
2125;Bulle;4;depc_med;113;A
2125;Bulle;4;depc_spo;6690;A
2125;Bulle;4;depc_egl;0;A
2125;Bulle;4;depic_t;1795;A
2125;Bulle;4;depic_pat_cul;65;A
2125;Bulle;4;depic_cula;0;A
2125;Bulle;4;depic_med;0;A
2125;Bulle;4;depic_spo;1731;A
2125;Bulle;4;depic_egl;0;A
6608;Carouge (GE);4;depc_t;28831;A
6608;Carouge (GE);4;depc_pat_cul;978;A
6608;Carouge (GE);4;depc_cula;17132;A
6608;Carouge (GE);4;depc_med;508;A
6608;Carouge (GE);4;depc_spo;10213;A
6608;Carouge (GE);4;depc_egl;0;A
6608;Carouge (GE);4;depic_t;7265;A
6608;Carouge (GE);4;depic_pat_cul;8;A
6608;Carouge (GE);4;depic_cula;6481;A
6608;Carouge (GE);4;depic_med;0;A
6608;Carouge (GE);4;depic_spo;777;A
6608;Carouge (GE);4;depic_egl;0;A
3901;Chur;4;depc_t;23665;A
3901;Chur;4;depc_pat_cul;212;A
3901;Chur;4;depc_cula;3876;A
3901;Chur;4;depc_med;0;A
3901;Chur;4;depc_spo;19578;A
3901;Chur;4;depc_egl;0;A
3901;Chur;4;depic_t;8953;A
3901;Chur;4;depic_pat_cul;0;A
3901;Chur;4;depic_cula;802;A
3901;Chur;4;depic_med;0;A
3901;Chur;4;depic_spo;8151;A
3901;Chur;4;depic_egl;0;A
243;Dietikon;4;depc_t;5875;A
243;Dietikon;4;depc_pat_cul;46;A
243;Dietikon;4;depc_cula;1050;A
243;Dietikon;4;depc_med;0;A
243;Dietikon;4;depc_spo;4779;A
243;Dietikon;4;depc_egl;0;A
243;Dietikon;4;depic_t;1228;A
243;Dietikon;4;depic_pat_cul;0;A
243;Dietikon;4;depic_cula;186;A
243;Dietikon;4;depic_med;0;A
243;Dietikon;4;depic_spo;1042;A
243;Dietikon;4;depic_egl;0;A
191;Dübendorf;4;depc_t;4793;A
191;Dübendorf;4;depc_pat_cul;20;A
191;Dübendorf;4;depc_cula;1109;A
191;Dübendorf;4;depc_med;25;A
191;Dübendorf;4;depc_spo;3567;A
191;Dübendorf;4;depc_egl;73;A
191;Dübendorf;4;depic_t;436;A
191;Dübendorf;4;depic_pat_cul;0;A
191;Dübendorf;4;depic_cula;82;A
191;Dübendorf;4;depic_med;0;A
191;Dübendorf;4;depic_spo;354;A
191;Dübendorf;4;depic_egl;0;A
1024;Emmen;4;depc_t;4327;A
1024;Emmen;4;depc_pat_cul;152;A
1024;Emmen;4;depc_cula;803;A
1024;Emmen;4;depc_med;52;A
