OBJET;MUSEE_NUMERO;ARCHIVE_NUMERO;BIBLIOTHEQUE_NUMERO;REMARQUE;ADRESSE;COMMUNE;OPC;IMPORTANCE;E;N
Fond cantonal d'art contemporain;8758;;;;Sentier des Saules 3;Genève ;VG3;A;2499061.61;1117621.26
Fondation Braillard architectes;;8944;;;Rue Saint-Léger 16;Genève;VG3;B;2500354.91;1117184.19
Musée d'art et d'histoire;8692;;;;Rue Charles-Galland 2;Genève;VG3;A;2500652.89;1117244.18
Bibliothèques et archives de la SDN et de l'ONU;;8836;8836;;Avenue de la Paix 14;Genève;VG2;A;2499855.16;1120283.56
Musée international de la Réforme;8703;;;;Rue du Cloître 4;Genève;VG3;A;2500418.89;1117496.68
Muséum d'histoire naturelle;8666;;;;Route de Malagnou 1;Genève;VG1;A;2501171.06;1117198.07
Musée d'ethnographie;8661;;;;Boulevard Carl-Vogt 65;Genève;VG3;A;2499553.01;1117094.36
MAMCO;8679;;;;Rue des Vieux-Grenadiers 10;Genève;VG3;A;2499587.41;1117193.36
Archives de la TSR, D+A;;8970;;;Quai Ernest-Ansermet 20;Genève;VG3;A;2499455.49;1116917.07
Fondation pour les arts de scène et de l'image;;11797;;;Rue du Temple 5;Genève;VG2;B;2499816.90;1118030.16
Institut d'Architecture de l'Université de Genève;;8920;8920;;Route de Drize 7;Carouge;Carouge;B;2499718.64;1114725.94
Bibliothèque du conservatoire de musique;;;9547;;Place de Neuve 5;Genève;VG3;B;2499950.02;1117422.79
Bibliotheca Bodmeriana - Fondation Bodmer;;;9330;;Route du Guignard 19 - 21;Cologny;Lac;A;2502928.11;1118998.27
Archives de l'UIT;;8935;;;Chemin des Colombettes 34;Genève;VG2;A;2499565.61;1119795.07
Bibliothèque musicale de la Ville de Genève;;;9550;;Rue Général-Dufour 16;Genève;VG3;B;2499874.32;1117444.88
Bibliothèque d'art et d'archéologie;;;9361;;Promenade du Pin 5;Genève;VG3;B;2500580.70;1117138.99
Musée d'histoire des sciences;8720;;;;Rue de Lausanne 128;Genève;VG2;A;2500735.78;1119639.79
Centre d'iconographie genevoise;;2444;;;Passage de la Tour 2;Genève;VG3;A;2500252.41;1116805.38
Fondation Archives Institut J.-J.-Rousseau;;10581;;;Boulevard du Pont-d'Arve 40;Genève;VG3;B;2499754.89;1116785.27
Archives de l'université;;8919;;;Quai du Seujet 14;Genève;OPC VG2;B;2499459.11;1117963.26
Musée de Carouge;8756;;;;Place de Sardaigne 2;Carouge;Carouge;B;2499655.87;1115590.70
Archives de la Ville de Genève;;8822;;;Rue de la Croix-Rouge 4;Genève;VG3;A;2500334.71;1117232.89
Archives de l'YMCY;;8942;;;Clos-Belmont 12;Genève;VG1;A;2501801.46;1117224.76
Archives de l'OMC;;8963;;;Rue de Lausanne 154;Genève;VG2;A;2500525.48;1120049.30
Archives de l'OMM;;8936;;;Avenue de la Paix 7BIS;Genève;VG2;A;2500281.99;1119917.50
Archives communales de Carouge;;8866;;;Place du Marché 14;Carouge;Carouge;A;2499733.57;1115587.50
"Bibliothèque juive de Genève ""Gérard Nordman""";;;9299;;Avenue Dumas 21;Genève;VG1;A;2501012.93;1116313.81
Archives du Collège de Genève;;11595;;;Rue Théodore-de-Bèze 4;Genève;VG3;B;2500615.18;1117442.08
Bibliothèque de la Société de lecture de Genève;;;9300;;Grand'Rue 11;Genève;OPC VG3;A;2500181.80;1117609.79
Bibliothèques du BIT;;;12035;;Route des Morillons 4;Genève;VG2;B;2499404.44;1120528.42
Maison Tavel;10660;;;;Rue du Puits-Saint-Pierre 6;Genève;VG3;B;2500311.40;1117487.29
Bibliothèque de La Grange;;;11746;;Parc de La Grange;Genève;VG1;A;2501804.75;1117994.97
Fondation Archives Vie Privée;;11807;;;Rue de la Tannerie 2BIS;Carouge;Carouge;B;2499910.17;1115362.11
FMAC;8729;;;;Rue des Vieux-Grenadiers 10;Genève;VG3;A;2499580.81;1117197.56
Archives centrales des HUG;;9155;;;Rue Gabrielle-Perret-Gentil 4;Genève;VG3;A;2500477.79;1116610.20
Archives Micheli;;11594;;;Route du Prieur 48;Bardonnex;Salève;B;2498764.71;1111292.96
Musée de l'Ordre de Malte;8665;;;;Route de Cugny 99;Bardonnex;Salève;A;2498176.69;1112004.58
Bibliothèque et collections du CJB;11816;;9364;;Chemin de l'Impératrice 1;Genève;VG2;A;2500307.87;1120414.97
Bibliothèque du musée international de la Réforme;;;9365;;Rue du Cloître 4;Genève;VG3;B;2500406.49;1117501.49
Institut et Musée Voltaire;8678;11607;11606;;Rue des Délices 25;Genève;VG4;A;2499272.41;1118185.36
Musée Ariana;8680;;;;Avenue de la Paix 10;Genève;VG2;A;2499711.56;1120146.07
Archives d'Etat de Genève;;11602;;Annexe;Rue de la Terrassière 52;Genève;VG1;A;2501339.57;1117321.17
Cabinet d'arts graphiques;8677;;;;Promenade du Pin 5;Genève;VG3;A;2500574.40;1117144.99
Archives historiques du BIT;;8937;;;Route des Morillons 4;Genève;VG2;A;2499357.94;1120674.22
Musée Barbier-Mueller;2472;;9360;;Rue Jean-Calvin 10;Genève;VG3;B;2500276.60;1117553.29
Annexe du musée d'ethnographie;11852;;;;Chemin Calandrini 7;Chêne-Bougeries;Seymaz;B;2502588.14;1115145.15
Archives de l'UNHCR;;8938;;;Rue de Montbrillant 94;Genève;VG2;A;2499868.62;1119644.53
Bibliothèque de Genève;;8925;9329;;Promenade des Bastions 1;Genève;VG3;A;2500156.42;1117189.89
La Criée;;8943;;;Quai du Rhône 12;Genève;VG3;B;2499292.11;1117658.35
Archives d'Etat de Genève;;8789;;;Rue de l'Hôtel-de-Ville 1;Genève;OPC VG3;A;2500304.00;1117450.59
Ecomusée Voltaire;8730;;;;Rue du Vuache 25;Genève;VG4;B;2499489.61;1118128.06
Archives du  CICR;;8846;;;Avenue de la Paix 19;Genève;VG2;A;2499603.85;1120423.54
Fondation Zoubov;9451;;;;Rue des Granges 2;Genève;VG3;B;2500108.11;1117508.39
Fondation Baur, musée des arts d'Extrème-Orient;8641;;;;Rue Munier-Romilly 8;Genève;VG3;A;2500789.69;1117049.89
Musée int. de la croix rouge et du croissant rouge;8682;;;;Avenue de la Paix 17;Genève;VG2;A;2499571.55;1120367.54
